Comoros;COM;GDP per capita (current US$);NY.GDP.PCAP.CD;1490,31511351281;1329,37048235986;1540,71132257526
Cabo Verde;CPV;GDP per capita (current US$);NY.GDP.PCAP.CD;3736,81517011087;3415,06266730931;4294,96510456428
Costa Rica;CRI;GDP per capita (current US$);NY.GDP.PCAP.CD;10126,9991024177;11714,7105980732;12590,2493781614
Caribbean small states;CSS;GDP per capita (current US$);NY.GDP.PCAP.CD;11305,6061869965;11835,2872155303;12047,8528111635
Cuba;CUB;GDP per capita (current US$);NY.GDP.PCAP.CD;6470,83673392653;7727,91997207998;8911,46205964193
Curacao;CUW;GDP per capita (current US$);NY.GDP.PCAP.CD;19809,8223198624;19361,8130008678;19119,1243941688
Cayman Islands;CYM;GDP per capita (current US$);NY.GDP.PCAP.CD;75101,59136128;76379,2095108681;83865,5531568184
Cyprus;CYP;GDP per capita (current US$);NY.GDP.PCAP.CD;28991,935546875;23487,228515625;29599,986328125
Czechia;CZE;GDP per capita (current US$);NY.GDP.PCAP.CD;20014,0354015165;17931,5987670768;23705,9329811299
Germany;DEU;GDP per capita (current US$);NY.GDP.PCAP.CD;44735,5882319701;41911,0109851054;48874,8595028454
Djibouti;DJI;GDP per capita (current US$);NY.GDP.PCAP.CD;1400,19357858954;2376,12554719873;2718,0853229414
Dominica;DMA;GDP per capita (current US$);NY.GDP.PCAP.CD;7031,39987118111;7679,83293618857;8137,56520624242
Denmark;DNK;GDP per capita (current US$);NY.GDP.PCAP.CD;58443,7747103968;53094,0133607574;61324,7665045565
Dominican Republic;DOM;GDP per capita (current US$);NY.GDP.PCAP.CD;6025,72582713231;6819,93225155181;7934,98141208525
Algeria;DZA;GDP per capita (current US$);NY.GDP.PCAP.CD;6033,64884689543;4685,05902729002;4577,21029180491
East Asia & Pacific (excluding high income);EAP;GDP per capita (current US$);NY.GDP.PCAP.CD;5364,23069934233;6482,99315626888;7925,42476458249
Early-demographic dividend;EAR;GDP per capita (current US$);NY.GDP.PCAP.CD;3356,98183201305;3211,78012733143;3503,21320137921
East Asia & Pacific;EAS;GDP per capita (current US$);NY.GDP.PCAP.CD;9416,21589854878;9562,10616350756;11285,8972298534
